,pred,true
0,B cell,B cell
1,B cell,B cell
2,Megakaryocyte,Megakaryocyte
3,CD14+ monocyte,CD14+ monocyte
4,CD4+ T cell,CD4+ T cell
5,CD14+ monocyte,CD14+ monocyte
6,Megakaryocyte,Megakaryocyte
7,B cell,B cell
8,Cytotoxic T cell,Cytotoxic T cell
9,Cytotoxic T cell,Natural killer cell
10,Cytotoxic T cell,Cytotoxic T cell
11,CD4+ T cell,CD4+ T cell
12,CD14+ monocyte,CD14+ monocyte
13,Cytotoxic T cell,Cytotoxic T cell
14,Natural killer cell,Natural killer cell
15,Cytotoxic T cell,Natural killer cell
16,CD4+ T cell,CD4+ T cell
17,CD4+ T cell,CD4+ T cell
18,CD14+ monocyte,CD14+ monocyte
19,CD14+ monocyte,CD14+ monocyte
20,CD4+ T cell,CD4+ T cell
21,Cytotoxic T cell,Cytotoxic T cell
22,CD4+ T cell,Cytotoxic T cell
23,Cytotoxic T cell,Cytotoxic T cell
24,CD4+ T cell,Cytotoxic T cell
25,B cell,B cell
26,B cell,B cell
27,CD4+ T cell,CD4+ T cell
28,B cell,B cell
29,Cytotoxic T cell,Natural killer cell
30,CD4+ T cell,Cytotoxic T cell
31,CD4+ T cell,CD4+ T cell
32,Cytotoxic T cell,Cytotoxic T cell
33,CD14+ monocyte,CD4+ T cell
34,CD14+ monocyte,CD14+ monocyte
35,CD14+ monocyte,CD14+ monocyte
36,B cell,B cell
37,B cell,B cell
38,Cytotoxic T cell,Megakaryocyte
39,CD4+ T cell,CD4+ T cell
40,CD4+ T cell,Cytotoxic T cell
41,CD4+ T cell,CD4+ T cell
42,Cytotoxic T cell,Cytotoxic T cell
43,Cytotoxic T cell,Cytotoxic T cell
44,CD4+ T cell,CD4+ T cell
45,CD14+ monocyte,CD14+ monocyte
46,CD14+ monocyte,CD14+ monocyte
47,CD4+ T cell,CD4+ T cell
48,CD4+ T cell,CD4+ T cell
49,Cytotoxic T cell,Natural killer cell
50,Megakaryocyte,Megakaryocyte
51,CD4+ T cell,CD4+ T cell
52,Cytotoxic T cell,Cytotoxic T cell
53,CD4+ T cell,CD4+ T cell
54,Megakaryocyte,Megakaryocyte
55,CD14+ monocyte,CD14+ monocyte
56,CD4+ T cell,Cytotoxic T cell
57,CD4+ T cell,CD4+ T cell
58,Cytotoxic T cell,Cytotoxic T cell
59,CD4+ T cell,CD4+ T cell
60,Cytotoxic T cell,CD4+ T cell
61,Cytotoxic T cell,Natural killer cell
62,Cytotoxic T cell,Cytotoxic T cell
63,CD14+ monocyte,CD14+ monocyte
64,Cytotoxic T cell,CD4+ T cell
65,B cell,B cell
66,CD4+ T cell,CD4+ T cell
67,CD4+ T cell,Natural killer cell
68,CD4+ T cell,CD4+ T cell
69,CD4+ T cell,CD4+ T cell
70,CD4+ T cell,CD4+ T cell
71,CD4+ T cell,CD4+ T cell
72,CD14+ monocyte,Dendritic cell
73,Megakaryocyte,Megakaryocyte
74,CD14+ monocyte,CD14+ monocyte
75,B cell,B cell
76,CD4+ T cell,CD4+ T cell
77,Cytotoxic T cell,Cytotoxic T cell
78,CD4+ T cell,CD4+ T cell
79,CD14+ monocyte,CD14+ monocyte
80,CD14+ monocyte,CD14+ monocyte
81,Cytotoxic T cell,Natural killer cell
82,CD4+ T cell,CD4+ T cell
83,B cell,B cell
84,Cytotoxic T cell,Natural killer cell
85,B cell,B cell
86,Cytotoxic T cell,Cytotoxic T cell
87,CD4+ T cell,CD4+ T cell
88,Cytotoxic T cell,Cytotoxic T cell
89,CD4+ T cell,CD4+ T cell
90,CD4+ T cell,CD4+ T cell
91,CD4+ T cell,CD4+ T cell
92,CD4+ T cell,CD4+ T cell
93,B cell,B cell
94,CD4+ T cell,CD4+ T cell
95,CD4+ T cell,CD4+ T cell
96,CD4+ T cell,CD4+ T cell
97,B cell,B cell
98,B cell,B cell
99,CD4+ T cell,CD4+ T cell
100,Cytotoxic T cell,Cytotoxic T cell
101,CD4+ T cell,CD4+ T cell
102,B cell,B cell
103,CD4+ T cell,Cytotoxic T cell
104,Cytotoxic T cell,Cytotoxic T cell
105,CD4+ T cell,CD4+ T cell
106,CD4+ T cell,Cytotoxic T cell
107,Cytotoxic T cell,Natural killer cell
108,B cell,B cell
109,CD14+ monocyte,CD14+ monocyte
110,CD4+ T cell,CD4+ T cell
111,CD14+ monocyte,CD14+ monocyte
112,Cytotoxic T cell,Cytotoxic T cell
113,Megakaryocyte,Megakaryocyte
114,CD4+ T cell,CD4+ T cell
115,B cell,B cell
116,CD14+ monocyte,CD14+ monocyte
117,CD14+ monocyte,CD14+ monocyte
118,B cell,B cell
119,Cytotoxic T cell,Cytotoxic T cell
120,CD14+ monocyte,CD16+ monocyte
121,B cell,B cell
122,B cell,B cell
123,Cytotoxic T cell,Cytotoxic T cell
124,CD14+ monocyte,CD16+ monocyte
125,CD4+ T cell,Cytotoxic T cell
126,CD4+ T cell,CD4+ T cell
127,CD14+ monocyte,CD14+ monocyte
128,Megakaryocyte,Megakaryocyte
129,B cell,B cell
130,CD4+ T cell,CD4+ T cell
131,CD14+ monocyte,CD14+ monocyte
132,CD14+ monocyte,CD14+ monocyte
133,CD14+ monocyte,CD14+ monocyte
134,Cytotoxic T cell,Cytotoxic T cell
135,CD4+ T cell,Cytotoxic T cell
136,B cell,B cell
137,CD4+ T cell,CD4+ T cell
138,CD14+ monocyte,CD14+ monocyte
139,CD4+ T cell,CD4+ T cell
140,CD14+ monocyte,CD14+ monocyte
141,CD14+ monocyte,CD14+ monocyte
142,Cytotoxic T cell,Cytotoxic T cell
143,CD4+ T cell,CD4+ T cell
144,Cytotoxic T cell,Cytotoxic T cell
145,CD4+ T cell,Cytotoxic T cell
146,CD4+ T cell,CD4+ T cell
147,CD4+ T cell,CD4+ T cell
148,B cell,B cell
149,CD14+ monocyte,Cytotoxic T cell
150,CD14+ monocyte,CD14+ monocyte
151,CD4+ T cell,Cytotoxic T cell
152,B cell,B cell
153,CD14+ monocyte,CD14+ monocyte
154,CD4+ T cell,CD4+ T cell
155,B cell,B cell
156,B cell,B cell
157,CD14+ monocyte,CD14+ monocyte
158,CD14+ monocyte,CD14+ monocyte
159,CD4+ T cell,CD4+ T cell
160,CD14+ monocyte,CD14+ monocyte
161,CD4+ T cell,CD4+ T cell
162,CD4+ T cell,CD4+ T cell
163,CD4+ T cell,CD4+ T cell
164,CD4+ T cell,Cytotoxic T cell
165,CD4+ T cell,Cytotoxic T cell
166,B cell,B cell
167,CD14+ monocyte,CD14+ monocyte
168,CD14+ monocyte,CD14+ monocyte
169,CD4+ T cell,CD4+ T cell
170,Cytotoxic T cell,Cytotoxic T cell
171,CD4+ T cell,CD4+ T cell
172,Cytotoxic T cell,Cytotoxic T cell
173,CD4+ T cell,CD4+ T cell
174,CD14+ monocyte,CD14+ monocyte
175,CD4+ T cell,CD4+ T cell
176,Megakaryocyte,Megakaryocyte
177,B cell,B cell
178,CD4+ T cell,CD4+ T cell
179,Megakaryocyte,Megakaryocyte
180,CD4+ T cell,Cytotoxic T cell
181,CD4+ T cell,Cytotoxic T cell
182,CD14+ monocyte,CD14+ monocyte
183,CD4+ T cell,CD4+ T cell
184,Cytotoxic T cell,Cytotoxic T cell
185,Megakaryocyte,Megakaryocyte
186,Cytotoxic T cell,Cytotoxic T cell
187,Megakaryocyte,Megakaryocyte
188,Cytotoxic T cell,Natural killer cell
189,CD14+ monocyte,CD4+ T cell
190,CD14+ monocyte,CD14+ monocyte
191,CD14+ monocyte,CD14+ monocyte
192,CD14+ monocyte,CD14+ monocyte
193,B cell,B cell
194,CD14+ monocyte,CD14+ monocyte
195,CD14+ monocyte,CD14+ monocyte
196,Megakaryocyte,Megakaryocyte
197,CD14+ monocyte,CD14+ monocyte
198,Cytotoxic T cell,Cytotoxic T cell
199,CD14+ monocyte,CD14+ monocyte
200,CD14+ monocyte,CD14+ monocyte
201,CD14+ monocyte,CD14+ monocyte
202,B cell,B cell
203,CD4+ T cell,Cytotoxic T cell
204,Cytotoxic T cell,Cytotoxic T cell
205,CD4+ T cell,CD4+ T cell
206,Natural killer cell,Natural killer cell
207,CD14+ monocyte,CD14+ monocyte
208,CD4+ T cell,CD4+ T cell
209,B cell,B cell
210,B cell,B cell
211,CD14+ monocyte,CD14+ monocyte
212,Cytotoxic T cell,Cytotoxic T cell
213,CD4+ T cell,CD4+ T cell
214,CD14+ monocyte,CD14+ monocyte
215,Cytotoxic T cell,Natural killer cell
216,CD4+ T cell,Cytotoxic T cell
217,Cytotoxic T cell,Natural killer cell
218,CD14+ monocyte,CD14+ monocyte
219,Cytotoxic T cell,Natural killer cell
220,CD14+ monocyte,CD14+ monocyte
221,CD4+ T cell,CD4+ T cell
222,CD4+ T cell,CD4+ T cell
223,Cytotoxic T cell,Natural killer cell
224,Cytotoxic T cell,Cytotoxic T cell
225,CD4+ T cell,Natural killer cell
226,B cell,B cell
227,CD14+ monocyte,CD14+ monocyte
228,CD14+ monocyte,CD14+ monocyte
229,B cell,B cell
230,Cytotoxic T cell,Cytotoxic T cell
231,Cytotoxic T cell,Cytotoxic T cell
232,CD4+ T cell,CD4+ T cell
233,CD4+ T cell,CD4+ T cell
234,Megakaryocyte,Megakaryocyte
235,CD14+ monocyte,CD14+ monocyte
236,CD4+ T cell,CD4+ T cell
237,Cytotoxic T cell,Cytotoxic T cell
238,CD4+ T cell,CD4+ T cell
239,CD14+ monocyte,CD14+ monocyte
240,B cell,B cell
241,Cytotoxic T cell,Natural killer cell
242,B cell,B cell
243,Cytotoxic T cell,Cytotoxic T cell
244,B cell,B cell
245,Cytotoxic T cell,Cytotoxic T cell
246,CD4+ T cell,CD4+ T cell
247,Cytotoxic T cell,Cytotoxic T cell
248,CD4+ T cell,Cytotoxic T cell
249,B cell,B cell
250,Cytotoxic T cell,Cytotoxic T cell
251,CD14+ monocyte,CD14+ monocyte
252,CD14+ monocyte,CD14+ monocyte
253,CD14+ monocyte,CD14+ monocyte
254,CD14+ monocyte,CD16+ monocyte
255,Cytotoxic T cell,Natural killer cell
256,CD4+ T cell,Cytotoxic T cell
257,CD4+ T cell,CD4+ T cell
258,B cell,B cell
259,CD14+ monocyte,CD14+ monocyte
260,Cytotoxic T cell,Cytotoxic T cell
261,CD4+ T cell,CD4+ T cell
262,Cytotoxic T cell,Natural killer cell
263,CD4+ T cell,Cytotoxic T cell
264,Cytotoxic T cell,Natural killer cell
265,CD14+ monocyte,CD14+ monocyte
266,CD4+ T cell,CD4+ T cell
267,B cell,B cell
268,B cell,B cell
269,CD14+ monocyte,Dendritic cell
270,CD14+ monocyte,CD14+ monocyte
271,Cytotoxic T cell,Cytotoxic T cell
272,B cell,B cell
273,CD4+ T cell,CD4+ T cell
274,Megakaryocyte,Megakaryocyte
275,CD4+ T cell,CD4+ T cell
276,Megakaryocyte,Megakaryocyte
277,Megakaryocyte,Megakaryocyte
278,CD4+ T cell,Cytotoxic T cell
279,Cytotoxic T cell,Cytotoxic T cell
