,pred,true
0,B cell,B cell
1,Natural killer cell,Natural killer cell
2,Cytotoxic T cell,Cytotoxic T cell
3,B cell,B cell
4,B cell,B cell
5,CD4+ T cell,CD4+ T cell
6,CD4+ T cell,CD4+ T cell
7,Cytotoxic T cell,Cytotoxic T cell
8,CD16+ monocyte,CD16+ monocyte
9,CD4+ T cell,CD4+ T cell
10,Natural killer cell,Cytotoxic T cell
11,Cytotoxic T cell,Cytotoxic T cell
12,CD4+ T cell,CD4+ T cell
13,Cytotoxic T cell,CD4+ T cell
14,Cytotoxic T cell,CD4+ T cell
15,Cytotoxic T cell,CD4+ T cell
16,CD14+ monocyte,CD14+ monocyte
17,Cytotoxic T cell,CD4+ T cell
18,Cytotoxic T cell,Megakaryocyte
19,Cytotoxic T cell,CD4+ T cell
20,Cytotoxic T cell,Natural killer cell
21,B cell,B cell
22,Cytotoxic T cell,Cytotoxic T cell
23,B cell,B cell
24,Natural killer cell,Natural killer cell
25,CD4+ T cell,CD4+ T cell
26,CD14+ monocyte,CD16+ monocyte
27,Cytotoxic T cell,Cytotoxic T cell
28,CD4+ T cell,CD4+ T cell
29,Cytotoxic T cell,Megakaryocyte
30,B cell,B cell
31,Cytotoxic T cell,CD4+ T cell
32,Cytotoxic T cell,Cytotoxic T cell
33,Megakaryocyte,Megakaryocyte
34,Cytotoxic T cell,Cytotoxic T cell
35,CD14+ monocyte,CD16+ monocyte
36,Cytotoxic T cell,Cytotoxic T cell
37,CD4+ T cell,CD4+ T cell
38,Cytotoxic T cell,Cytotoxic T cell
39,CD14+ monocyte,CD14+ monocyte
40,B cell,B cell
41,Cytotoxic T cell,Cytotoxic T cell
42,CD4+ T cell,CD4+ T cell
43,Cytotoxic T cell,CD4+ T cell
44,Natural killer cell,Natural killer cell
45,CD4+ T cell,CD4+ T cell
46,Cytotoxic T cell,Cytotoxic T cell
47,Cytotoxic T cell,Cytotoxic T cell
48,Cytotoxic T cell,Cytotoxic T cell
49,Cytotoxic T cell,Cytotoxic T cell
50,B cell,B cell
51,CD16+ monocyte,CD14+ monocyte
52,Cytotoxic T cell,CD4+ T cell
53,Cytotoxic T cell,Cytotoxic T cell
54,CD14+ monocyte,CD14+ monocyte
55,B cell,B cell
56,B cell,B cell
57,Cytotoxic T cell,Cytotoxic T cell
58,Natural killer cell,Natural killer cell
59,Cytotoxic T cell,Natural killer cell
60,CD14+ monocyte,CD14+ monocyte
61,Natural killer cell,Natural killer cell
62,CD4+ T cell,CD4+ T cell
63,Cytotoxic T cell,Cytotoxic T cell
64,Cytotoxic T cell,Cytotoxic T cell
65,Cytotoxic T cell,Cytotoxic T cell
66,CD4+ T cell,CD4+ T cell
67,Natural killer cell,Natural killer cell
68,CD4+ T cell,CD4+ T cell
69,Cytotoxic T cell,Cytotoxic T cell
70,CD4+ T cell,CD4+ T cell
71,Cytotoxic T cell,CD4+ T cell
72,Natural killer cell,Cytotoxic T cell
73,B cell,B cell
74,CD4+ T cell,CD4+ T cell
75,Cytotoxic T cell,Cytotoxic T cell
76,Cytotoxic T cell,CD4+ T cell
77,Cytotoxic T cell,CD4+ T cell
78,Cytotoxic T cell,CD4+ T cell
79,CD4+ T cell,CD4+ T cell
80,Cytotoxic T cell,Cytotoxic T cell
81,B cell,B cell
82,Cytotoxic T cell,Cytotoxic T cell
83,B cell,B cell
84,CD14+ monocyte,CD14+ monocyte
85,Cytotoxic T cell,Cytotoxic T cell
86,CD4+ T cell,CD4+ T cell
87,Cytotoxic T cell,Cytotoxic T cell
88,CD4+ T cell,CD4+ T cell
89,CD16+ monocyte,CD16+ monocyte
90,Cytotoxic T cell,CD4+ T cell
91,Cytotoxic T cell,Cytotoxic T cell
92,Cytotoxic T cell,Cytotoxic T cell
93,Cytotoxic T cell,Cytotoxic T cell
94,B cell,B cell
95,CD4+ T cell,CD4+ T cell
96,Natural killer cell,Natural killer cell
97,Cytotoxic T cell,CD4+ T cell
98,Cytotoxic T cell,Cytotoxic T cell
99,Cytotoxic T cell,Cytotoxic T cell
100,Cytotoxic T cell,Cytotoxic T cell
101,CD4+ T cell,CD4+ T cell
102,Natural killer cell,Natural killer cell
103,Megakaryocyte,Megakaryocyte
104,Cytotoxic T cell,Cytotoxic T cell
105,Cytotoxic T cell,Cytotoxic T cell
106,B cell,B cell
107,Cytotoxic T cell,CD4+ T cell
108,Cytotoxic T cell,CD4+ T cell
109,Natural killer cell,Natural killer cell
110,CD4+ T cell,CD4+ T cell
111,CD4+ T cell,CD4+ T cell
112,CD4+ T cell,CD4+ T cell
113,Cytotoxic T cell,CD4+ T cell
114,Natural killer cell,Natural killer cell
115,Cytotoxic T cell,CD4+ T cell
116,Cytotoxic T cell,Cytotoxic T cell
117,CD4+ T cell,CD4+ T cell
118,Cytotoxic T cell,CD4+ T cell
119,Cytotoxic T cell,Cytotoxic T cell
120,Cytotoxic T cell,Cytotoxic T cell
