,pred,true
0,Cytotoxic T cell,Cytotoxic T cell
1,B cell,B cell
2,CD4+ T cell,CD4+ T cell
3,CD4+ T cell,CD4+ T cell
4,Dendritic cell,CD14+ monocyte
5,Cytotoxic T cell,Natural killer cell
6,Cytotoxic T cell,CD4+ T cell
7,CD4+ T cell,CD4+ T cell
8,B cell,B cell
9,B cell,B cell
10,Cytotoxic T cell,Cytotoxic T cell
11,CD4+ T cell,CD4+ T cell
12,B cell,B cell
13,CD14+ monocyte,CD16+ monocyte
14,B cell,B cell
15,B cell,B cell
16,CD4+ T cell,CD4+ T cell
17,Natural killer cell,Natural killer cell
18,CD4+ T cell,CD4+ T cell
19,CD4+ T cell,CD4+ T cell
20,CD14+ monocyte,CD14+ monocyte
21,CD4+ T cell,CD4+ T cell
22,B cell,B cell
23,B cell,B cell
24,Cytotoxic T cell,Cytotoxic T cell
25,Cytotoxic T cell,Cytotoxic T cell
26,CD14+ monocyte,CD14+ monocyte
27,B cell,B cell
28,B cell,B cell
29,Cytotoxic T cell,Cytotoxic T cell
30,Cytotoxic T cell,Cytotoxic T cell
31,B cell,B cell
32,Cytotoxic T cell,Cytotoxic T cell
33,CD4+ T cell,CD4+ T cell
34,B cell,B cell
35,Cytotoxic T cell,Natural killer cell
36,B cell,B cell
37,CD4+ T cell,CD4+ T cell
38,CD4+ T cell,CD4+ T cell
39,Cytotoxic T cell,Cytotoxic T cell
40,CD14+ monocyte,CD14+ monocyte
41,CD4+ T cell,CD4+ T cell
42,CD4+ T cell,Cytotoxic T cell
43,B cell,B cell
44,CD14+ monocyte,CD14+ monocyte
45,Cytotoxic T cell,Cytotoxic T cell
46,CD4+ T cell,CD4+ T cell
47,CD4+ T cell,CD4+ T cell
48,B cell,B cell
49,Cytotoxic T cell,Natural killer cell
50,CD4+ T cell,CD4+ T cell
51,CD16+ monocyte,CD16+ monocyte
52,CD4+ T cell,CD4+ T cell
53,Cytotoxic T cell,Cytotoxic T cell
54,Natural killer cell,Natural killer cell
55,CD14+ monocyte,CD14+ monocyte
56,B cell,B cell
57,Cytotoxic T cell,Cytotoxic T cell
58,B cell,B cell
59,Cytotoxic T cell,Cytotoxic T cell
60,Cytotoxic T cell,Cytotoxic T cell
61,Cytotoxic T cell,Cytotoxic T cell
62,Cytotoxic T cell,Cytotoxic T cell
63,CD14+ monocyte,CD14+ monocyte
64,Cytotoxic T cell,Cytotoxic T cell
65,Natural killer cell,Natural killer cell
66,B cell,B cell
67,Dendritic cell,CD14+ monocyte
68,B cell,B cell
69,CD4+ T cell,CD4+ T cell
70,CD14+ monocyte,CD16+ monocyte
71,B cell,B cell
72,B cell,B cell
73,B cell,B cell
74,B cell,B cell
75,B cell,B cell
76,CD14+ monocyte,CD16+ monocyte
77,Cytotoxic T cell,Cytotoxic T cell
78,B cell,B cell
79,Cytotoxic T cell,Cytotoxic T cell
80,B cell,B cell
81,Natural killer cell,Natural killer cell
82,Cytotoxic T cell,Cytotoxic T cell
