,pred,true
0,Megakaryocyte,Megakaryocyte
1,CD14+ monocyte,CD14+ monocyte
2,CD14+ monocyte,CD14+ monocyte
3,CD4+ T cell,CD4+ T cell
4,CD14+ monocyte,CD14+ monocyte
5,Cytotoxic T cell,Cytotoxic T cell
6,Cytotoxic T cell,Cytotoxic T cell
7,CD14+ monocyte,CD14+ monocyte
8,B cell,B cell
9,CD14+ monocyte,CD14+ monocyte
10,B cell,B cell
11,CD4+ T cell,CD4+ T cell
12,CD4+ T cell,Cytotoxic T cell
13,Cytotoxic T cell,CD4+ T cell
14,Cytotoxic T cell,Cytotoxic T cell
15,CD14+ monocyte,Cytotoxic T cell
16,CD4+ T cell,CD4+ T cell
17,CD4+ T cell,Cytotoxic T cell
18,Cytotoxic T cell,Cytotoxic T cell
19,Cytotoxic T cell,Cytotoxic T cell
20,Cytotoxic T cell,Cytotoxic T cell
21,CD4+ T cell,Cytotoxic T cell
22,CD4+ T cell,CD4+ T cell
23,Cytotoxic T cell,Cytotoxic T cell
24,CD14+ monocyte,CD14+ monocyte
25,Cytotoxic T cell,Cytotoxic T cell
26,B cell,B cell
27,Dendritic cell,Dendritic cell
28,CD4+ T cell,CD4+ T cell
29,CD4+ T cell,Cytotoxic T cell
30,CD4+ T cell,Cytotoxic T cell
31,B cell,B cell
32,Natural killer cell,Cytotoxic T cell
33,CD4+ T cell,CD4+ T cell
34,CD14+ monocyte,Cytotoxic T cell
35,Cytotoxic T cell,Cytotoxic T cell
36,CD14+ monocyte,CD14+ monocyte
37,Cytotoxic T cell,Cytotoxic T cell
38,B cell,B cell
39,CD14+ monocyte,CD14+ monocyte
40,Cytotoxic T cell,Cytotoxic T cell
41,CD4+ T cell,Cytotoxic T cell
42,Cytotoxic T cell,Cytotoxic T cell
43,CD4+ T cell,CD4+ T cell
44,CD14+ monocyte,CD14+ monocyte
45,CD14+ monocyte,CD14+ monocyte
46,Natural killer cell,Cytotoxic T cell
47,CD4+ T cell,CD4+ T cell
48,Cytotoxic T cell,Cytotoxic T cell
49,CD4+ T cell,CD4+ T cell
50,CD4+ T cell,CD4+ T cell
51,Cytotoxic T cell,Cytotoxic T cell
52,Cytotoxic T cell,Cytotoxic T cell
53,CD14+ monocyte,CD14+ monocyte
54,Cytotoxic T cell,Cytotoxic T cell
55,CD4+ T cell,Cytotoxic T cell
56,CD14+ monocyte,CD14+ monocyte
57,CD4+ T cell,Cytotoxic T cell
58,B cell,B cell
59,CD4+ T cell,CD14+ monocyte
60,CD14+ monocyte,CD14+ monocyte
61,CD4+ T cell,Cytotoxic T cell
62,Cytotoxic T cell,Cytotoxic T cell
63,B cell,B cell
64,Cytotoxic T cell,Cytotoxic T cell
65,CD4+ T cell,Cytotoxic T cell
66,B cell,B cell
67,Cytotoxic T cell,CD4+ T cell
68,CD4+ T cell,Cytotoxic T cell
69,CD4+ T cell,CD4+ T cell
70,CD4+ T cell,CD4+ T cell
71,B cell,B cell
72,CD14+ monocyte,CD14+ monocyte
73,CD14+ monocyte,CD14+ monocyte
74,CD4+ T cell,CD4+ T cell
75,CD14+ monocyte,CD14+ monocyte
76,CD4+ T cell,Cytotoxic T cell
77,CD14+ monocyte,CD14+ monocyte
78,Cytotoxic T cell,Cytotoxic T cell
79,B cell,B cell
80,CD4+ T cell,CD4+ T cell
81,CD4+ T cell,Cytotoxic T cell
82,CD14+ monocyte,CD14+ monocyte
83,B cell,CD4+ T cell
84,Cytotoxic T cell,Cytotoxic T cell
85,CD4+ T cell,Cytotoxic T cell
86,CD4+ T cell,Cytotoxic T cell
87,Cytotoxic T cell,Cytotoxic T cell
88,B cell,B cell
89,CD4+ T cell,Cytotoxic T cell
90,CD14+ monocyte,CD14+ monocyte
91,B cell,B cell
92,CD14+ monocyte,CD14+ monocyte
93,CD14+ monocyte,CD14+ monocyte
94,B cell,B cell
95,CD4+ T cell,CD4+ T cell
96,Cytotoxic T cell,Cytotoxic T cell
97,CD14+ monocyte,Cytotoxic T cell
98,Megakaryocyte,Megakaryocyte
99,Cytotoxic T cell,Cytotoxic T cell
100,B cell,B cell
101,B cell,B cell
102,CD14+ monocyte,CD14+ monocyte
103,Dendritic cell,CD14+ monocyte
104,B cell,B cell
105,B cell,B cell
106,CD14+ monocyte,CD14+ monocyte
107,B cell,B cell
108,Cytotoxic T cell,CD4+ T cell
109,CD4+ T cell,CD4+ T cell
110,B cell,B cell
111,CD14+ monocyte,CD14+ monocyte
112,B cell,B cell
113,CD14+ monocyte,CD14+ monocyte
114,Cytotoxic T cell,Cytotoxic T cell
115,CD14+ monocyte,CD14+ monocyte
116,B cell,B cell
117,Cytotoxic T cell,Cytotoxic T cell
118,CD14+ monocyte,CD14+ monocyte
119,CD4+ T cell,CD4+ T cell
120,CD14+ monocyte,CD14+ monocyte
121,Cytotoxic T cell,Cytotoxic T cell
122,Cytotoxic T cell,Cytotoxic T cell
123,CD4+ T cell,Cytotoxic T cell
124,CD4+ T cell,CD4+ T cell
125,CD14+ monocyte,CD14+ monocyte
126,CD4+ T cell,CD4+ T cell
127,CD14+ monocyte,CD14+ monocyte
128,CD14+ monocyte,CD14+ monocyte
129,CD14+ monocyte,CD14+ monocyte
130,Cytotoxic T cell,Cytotoxic T cell
131,Cytotoxic T cell,Cytotoxic T cell
132,CD4+ T cell,CD4+ T cell
133,B cell,B cell
134,B cell,B cell
135,Cytotoxic T cell,Cytotoxic T cell
136,Cytotoxic T cell,Cytotoxic T cell
137,CD4+ T cell,CD4+ T cell
138,CD14+ monocyte,CD14+ monocyte
139,CD4+ T cell,CD4+ T cell
140,CD14+ monocyte,CD14+ monocyte
141,CD14+ monocyte,CD14+ monocyte
142,Cytotoxic T cell,Cytotoxic T cell
143,CD14+ monocyte,CD14+ monocyte
144,Cytotoxic T cell,Cytotoxic T cell
145,Cytotoxic T cell,Cytotoxic T cell
146,CD4+ T cell,Cytotoxic T cell
147,Dendritic cell,CD14+ monocyte
148,B cell,B cell
149,CD14+ monocyte,CD14+ monocyte
150,Cytotoxic T cell,Cytotoxic T cell
151,Cytotoxic T cell,Cytotoxic T cell
152,Cytotoxic T cell,CD14+ monocyte
153,Cytotoxic T cell,Cytotoxic T cell
154,Natural killer cell,Cytotoxic T cell
155,CD14+ monocyte,CD14+ monocyte
156,B cell,B cell
157,CD4+ T cell,CD4+ T cell
158,CD4+ T cell,CD4+ T cell
159,CD14+ monocyte,CD14+ monocyte
160,Cytotoxic T cell,Cytotoxic T cell
161,Cytotoxic T cell,Cytotoxic T cell
162,Cytotoxic T cell,Cytotoxic T cell
163,CD14+ monocyte,CD14+ monocyte
164,Cytotoxic T cell,Cytotoxic T cell
165,B cell,B cell
166,Cytotoxic T cell,Cytotoxic T cell
167,CD14+ monocyte,CD14+ monocyte
168,Cytotoxic T cell,Cytotoxic T cell
169,CD14+ monocyte,CD14+ monocyte
170,CD4+ T cell,Cytotoxic T cell
171,CD4+ T cell,CD4+ T cell
172,CD4+ T cell,CD4+ T cell
173,CD4+ T cell,CD4+ T cell
174,B cell,B cell
175,Cytotoxic T cell,Cytotoxic T cell
176,Cytotoxic T cell,Cytotoxic T cell
177,Dendritic cell,CD14+ monocyte
178,B cell,B cell
179,CD14+ monocyte,Dendritic cell
180,CD14+ monocyte,CD14+ monocyte
181,CD4+ T cell,CD4+ T cell
182,CD14+ monocyte,CD14+ monocyte
183,Megakaryocyte,Megakaryocyte
184,CD14+ monocyte,CD14+ monocyte
185,Cytotoxic T cell,Cytotoxic T cell
186,CD14+ monocyte,CD14+ monocyte
187,Cytotoxic T cell,Cytotoxic T cell
188,CD14+ monocyte,CD14+ monocyte
189,Cytotoxic T cell,CD14+ monocyte
190,B cell,B cell
191,CD4+ T cell,Cytotoxic T cell
192,B cell,B cell
193,CD4+ T cell,Cytotoxic T cell
194,CD4+ T cell,CD4+ T cell
195,Cytotoxic T cell,Cytotoxic T cell
196,Natural killer cell,Cytotoxic T cell
197,CD14+ monocyte,CD14+ monocyte
198,B cell,B cell
199,CD14+ monocyte,CD14+ monocyte
200,Natural killer cell,Cytotoxic T cell
201,CD4+ T cell,CD4+ T cell
202,CD14+ monocyte,CD14+ monocyte
203,CD14+ monocyte,CD14+ monocyte
