,pred,true
0,Cytotoxic T cell,Cytotoxic T cell
1,CD14+ monocyte,Dendritic cell
2,Cytotoxic T cell,Cytotoxic T cell
3,CD14+ monocyte,CD14+ monocyte
4,CD14+ monocyte,CD14+ monocyte
5,CD14+ monocyte,CD14+ monocyte
6,CD4+ T cell,CD4+ T cell
7,CD4+ T cell,CD4+ T cell
8,Cytotoxic T cell,Cytotoxic T cell
9,B cell,B cell
10,B cell,B cell
11,Cytotoxic T cell,Cytotoxic T cell
12,Cytotoxic T cell,Cytotoxic T cell
13,B cell,B cell
14,CD4+ T cell,CD4+ T cell
15,Cytotoxic T cell,Cytotoxic T cell
16,B cell,B cell
17,B cell,B cell
18,CD14+ monocyte,CD14+ monocyte
19,B cell,B cell
20,CD4+ T cell,CD4+ T cell
21,CD14+ monocyte,CD14+ monocyte
22,CD4+ T cell,CD4+ T cell
23,CD16+ monocyte,CD16+ monocyte
24,Cytotoxic T cell,Cytotoxic T cell
25,Cytotoxic T cell,Cytotoxic T cell
26,Cytotoxic T cell,Cytotoxic T cell
27,CD14+ monocyte,CD14+ monocyte
28,Cytotoxic T cell,Cytotoxic T cell
29,B cell,B cell
30,CD16+ monocyte,CD16+ monocyte
31,CD4+ T cell,Cytotoxic T cell
32,B cell,B cell
33,CD4+ T cell,CD4+ T cell
34,CD14+ monocyte,CD14+ monocyte
35,B cell,B cell
36,Cytotoxic T cell,Cytotoxic T cell
37,CD14+ monocyte,CD14+ monocyte
38,B cell,B cell
39,CD4+ T cell,CD4+ T cell
40,Cytotoxic T cell,Cytotoxic T cell
41,B cell,B cell
42,CD14+ monocyte,CD14+ monocyte
43,Cytotoxic T cell,Cytotoxic T cell
44,Cytotoxic T cell,Cytotoxic T cell
45,CD14+ monocyte,CD14+ monocyte
46,Natural killer cell,Cytotoxic T cell
47,CD14+ monocyte,CD14+ monocyte
48,B cell,B cell
49,CD4+ T cell,CD4+ T cell
50,B cell,Dendritic cell
51,CD14+ monocyte,CD14+ monocyte
52,Cytotoxic T cell,CD4+ T cell
53,CD14+ monocyte,Cytotoxic T cell
54,CD4+ T cell,CD4+ T cell
55,Cytotoxic T cell,CD4+ T cell
56,Cytotoxic T cell,Cytotoxic T cell
57,Dendritic cell,CD16+ monocyte
58,Cytotoxic T cell,Cytotoxic T cell
59,Cytotoxic T cell,Natural killer cell
60,Cytotoxic T cell,Cytotoxic T cell
61,Cytotoxic T cell,Cytotoxic T cell
62,B cell,B cell
63,Natural killer cell,Cytotoxic T cell
64,CD4+ T cell,Cytotoxic T cell
65,B cell,B cell
66,Cytotoxic T cell,Cytotoxic T cell
67,Cytotoxic T cell,Cytotoxic T cell
68,CD14+ monocyte,CD14+ monocyte
69,Cytotoxic T cell,Cytotoxic T cell
70,Cytotoxic T cell,Cytotoxic T cell
71,Cytotoxic T cell,Cytotoxic T cell
72,CD14+ monocyte,CD14+ monocyte
73,CD14+ monocyte,Cytotoxic T cell
74,CD14+ monocyte,Dendritic cell
75,CD14+ monocyte,CD14+ monocyte
76,Cytotoxic T cell,Cytotoxic T cell
77,B cell,B cell
78,CD4+ T cell,CD4+ T cell
79,B cell,B cell
80,Natural killer cell,Cytotoxic T cell
81,CD14+ monocyte,CD14+ monocyte
82,Cytotoxic T cell,Cytotoxic T cell
83,CD4+ T cell,CD4+ T cell
84,CD14+ monocyte,CD14+ monocyte
85,Cytotoxic T cell,Cytotoxic T cell
86,CD14+ monocyte,CD14+ monocyte
87,CD14+ monocyte,CD14+ monocyte
88,CD14+ monocyte,CD14+ monocyte
89,Megakaryocyte,Megakaryocyte
90,CD4+ T cell,CD4+ T cell
91,B cell,B cell
92,CD14+ monocyte,CD14+ monocyte
93,CD4+ T cell,CD4+ T cell
94,CD14+ monocyte,CD14+ monocyte
95,CD14+ monocyte,CD14+ monocyte
96,CD14+ monocyte,CD14+ monocyte
97,CD16+ monocyte,CD16+ monocyte
98,CD16+ monocyte,CD16+ monocyte
99,CD16+ monocyte,CD16+ monocyte
100,CD4+ T cell,CD4+ T cell
101,CD14+ monocyte,CD16+ monocyte
102,CD14+ monocyte,CD14+ monocyte
103,Cytotoxic T cell,Cytotoxic T cell
104,B cell,B cell
105,CD14+ monocyte,CD14+ monocyte
106,Cytotoxic T cell,Cytotoxic T cell
107,Cytotoxic T cell,CD4+ T cell
108,CD4+ T cell,CD4+ T cell
109,CD14+ monocyte,CD14+ monocyte
110,Cytotoxic T cell,Cytotoxic T cell
111,CD4+ T cell,Cytotoxic T cell
112,CD14+ monocyte,CD14+ monocyte
113,B cell,B cell
114,B cell,B cell
115,Dendritic cell,Dendritic cell
116,Cytotoxic T cell,CD4+ T cell
117,CD4+ T cell,CD4+ T cell
118,CD4+ T cell,CD4+ T cell
119,B cell,B cell
120,CD14+ monocyte,CD14+ monocyte
121,Cytotoxic T cell,Cytotoxic T cell
122,Cytotoxic T cell,Cytotoxic T cell
123,CD14+ monocyte,CD16+ monocyte
124,CD14+ monocyte,CD14+ monocyte
125,CD14+ monocyte,CD14+ monocyte
126,CD14+ monocyte,CD14+ monocyte
127,Cytotoxic T cell,Cytotoxic T cell
128,CD14+ monocyte,CD14+ monocyte
129,Cytotoxic T cell,Cytotoxic T cell
130,CD4+ T cell,CD4+ T cell
131,Cytotoxic T cell,Cytotoxic T cell
132,B cell,B cell
133,B cell,B cell
134,B cell,B cell
135,Cytotoxic T cell,Cytotoxic T cell
136,Cytotoxic T cell,Cytotoxic T cell
137,CD16+ monocyte,CD16+ monocyte
138,CD14+ monocyte,CD14+ monocyte
139,CD14+ monocyte,CD14+ monocyte
140,CD14+ monocyte,CD14+ monocyte
141,Cytotoxic T cell,Cytotoxic T cell
142,CD4+ T cell,CD4+ T cell
143,Cytotoxic T cell,Natural killer cell
144,CD14+ monocyte,CD14+ monocyte
145,Cytotoxic T cell,Cytotoxic T cell
146,CD14+ monocyte,B cell
147,CD14+ monocyte,CD14+ monocyte
148,CD14+ monocyte,CD14+ monocyte
149,B cell,CD14+ monocyte
150,CD14+ monocyte,CD14+ monocyte
151,CD14+ monocyte,CD14+ monocyte
152,B cell,B cell
153,Cytotoxic T cell,Cytotoxic T cell
154,Cytotoxic T cell,Cytotoxic T cell
155,Cytotoxic T cell,Cytotoxic T cell
156,Cytotoxic T cell,Cytotoxic T cell
157,CD14+ monocyte,CD14+ monocyte
158,Cytotoxic T cell,CD4+ T cell
159,CD14+ monocyte,CD14+ monocyte
160,CD14+ monocyte,CD14+ monocyte
161,Natural killer cell,Cytotoxic T cell
162,Cytotoxic T cell,Cytotoxic T cell
163,B cell,B cell
164,B cell,B cell
165,B cell,B cell
166,CD16+ monocyte,CD16+ monocyte
167,Dendritic cell,Dendritic cell
168,Dendritic cell,Plasmacytoid dendritic cell
169,Dendritic cell,Dendritic cell
170,Cytotoxic T cell,Cytotoxic T cell
171,CD14+ monocyte,CD14+ monocyte
172,Cytotoxic T cell,CD4+ T cell
173,CD4+ T cell,CD4+ T cell
174,Cytotoxic T cell,Cytotoxic T cell
175,CD14+ monocyte,CD14+ monocyte
176,CD16+ monocyte,CD16+ monocyte
177,Cytotoxic T cell,Cytotoxic T cell
178,CD4+ T cell,Cytotoxic T cell
179,CD4+ T cell,CD4+ T cell
180,B cell,CD14+ monocyte
181,CD14+ monocyte,CD14+ monocyte
182,CD4+ T cell,CD4+ T cell
183,CD4+ T cell,CD4+ T cell
184,CD4+ T cell,CD4+ T cell
185,Cytotoxic T cell,Cytotoxic T cell
186,Cytotoxic T cell,Cytotoxic T cell
187,B cell,B cell
188,Megakaryocyte,Megakaryocyte
189,Cytotoxic T cell,Cytotoxic T cell
190,CD14+ monocyte,CD14+ monocyte
